Tissue,Mixture,CellType,PerturbedVsTrueSpearman,RecoveredVsTrueSpearman,Pass_0_8
Blood,Mixture24,erythrocyte,0.9995130177580721,0.6774620995168996,False
Blood,Mixture24,classical_monocyte,0.9992154863983849,0.9706752400142333,True
Blood,Mixture24,neutrophil,0.9994943896497326,0.9042381338946948,True
Blood,Mixture24,memory_B_cell,0.9993903284150081,0.9764478290419434,True
Blood,Mixture24,plasma_cell,0.9994872068339764,0.9994872068339764,True
Blood,Mixture24,platelet,0.999553376702053,0.9929423908446635,True
Blood,Mixture25,erythrocyte,0.9995130177580721,0.9995125962605488,True
Blood,Mixture25,classical_monocyte,0.9992154863983849,0.9648407716044755,True
Blood,Mixture25,neutrophil,0.9994943896497326,0.8031409089427962,True
Blood,Mixture25,memory_B_cell,0.9993903284150081,0.9764268974970917,True
Blood,Mixture25,plasma_cell,0.9994872068339764,0.9992256949566015,True
Blood,Mixture25,platelet,0.999553376702053,0.9897102792683607,True
Blood,Mixture26,erythrocyte,0.9995130177580721,0.7419791341996855,False
Blood,Mixture26,classical_monocyte,0.9992154863983849,0.9575985049028759,True
Blood,Mixture26,neutrophil,0.9994943896497326,0.7191042681301988,False
Blood,Mixture26,memory_B_cell,0.9993903284150081,0.9978987949579691,True
Blood,Mixture26,plasma_cell,0.9994872068339764,0.9959437452761649,True
Blood,Mixture26,platelet,0.999553376702053,0.9973788220283392,True
Blood,Mixture27,erythrocyte,0.9995130177580721,0.7179810146242088,False
Blood,Mixture27,classical_monocyte,0.9992154863983849,0.9569525767097713,True
Blood,Mixture27,neutrophil,0.9994943896497326,0.8025874118913828,True
